Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 Week Range,Volume,Avg. Volume
Alphabet Inc. (GOOGL),"2,351.93","2,337.35","2,363.89","2,351.03 x 800","2,356.50 x 900","2,346.16 - 2,371.25","1,323.30 - 2,431.38","1,444,862","1,596,269"
"Amazon.com, Inc. (AMZN)","3,291.61","3,306.37","3,319.09","3,289.79 x 1300","3,290.00 x 1000","3,289.07 - 3,330.78","2,330.00 - 3,554.00","4,506,685","3,584,782"
